indicator_orig,indic_id,indicator_harmonized
 Percentage of category 1 nations in CITES,IPBES_GA_1_52_19_8,percentage of countries that are category 1 cites parties
 Trends in forest extent (tree cover),IPBES_GA_1_52_19_9,trends in forest extent
" Protected area coverage of Key Biodiversity Areas (including Important Bird and Biodiversity Areas, Alliance for Zero Extinction sites)",IPBES_GA_1_52_19_10,protected area coverage of key biodiversity areas
 Total wood removals,IPBES_GA_1_52_19_11,total wood removals
 Biodiversity Habitat Index,IPBES_GA_1_52_19_12,biodiversity habitat index
 Species Habitat Index,IPBES_GA_1_52_19_13,species habitat index
 Forest area as a percentage of total land area,IPBES_GA_1_52_19_14,forest area as a percentage of total land area
 Trends in fisheries certified by the MSC,IPBES_GA_1_52_19_15,trends in fisheries certified by the msc
 Estimated fisheries catch and fishing effort,IPBES_GA_1_52_19_16,estimated fisheries catch and fishing effort
 Proportion of fish stocks within biologically sustainable levels,IPBES_GA_1_52_19_17,proportion of fish stocks within biologically sustainable levels
 Inland fishery production,IPBES_GA_1_52_19_18,inland fishery production
 Marine Trophic Index,IPBES_GA_1_52_19_19,marine trophic index (mti)
 Proportion of area of forest production under FSC and PEFC certification,IPBES_GA_1_52_19_20,proportion of area of forest production under fsc and pefc certification
 Nitrogen use efficiency,IPBES_GA_1_52_19_21,nitrogen use efficiency
