indicator_harmonized,indic_ids,source,Categories,Categories_2,Subcategories,Subcategories_2,policy,mea,assess
percentage of parties that have received funding support from development assistance agencies for national wetlands conservation and management,RAMSAR_OG4.17_61,RAMSAR,Governance,NA,Nature-based funding,NA,1,TRUE,FALSE
percentage of parties that have taken actions to address the issues for which ramsar sites have been listed on the montreux record,RAMSAR_SG2.7_28,RAMSAR,ecosystems,NA,State of ecosystems (integrity),NA,1,TRUE,FALSE
percentage of parties that have updated their national inventories in the last decade,RAMSAR_SG3.8_31,RAMSAR,Knowledge systems,NA,Information on biodiversity,NA,1,TRUE,FALSE
percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,GBF_T17_CY_225,GBF,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
percentage of parties to the nagoya - kuala lumpur supplementary protocol,GBF_T17_CY_227,GBF,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
percentage of parties where co-ordination mechanisms for the implementation of meas exist at a national level,RAMSAR_OG4.18_67,RAMSAR,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
percentage of parties with a) a governmental cepa national focal point and b) a non-governmental national focal point,RAMSAR_OG4.16_55,RAMSAR,Governance,NA,National/international cooperation,NA,1,TRUE,FALSE
percentage of population living in dense urban areas,IPBES_GA_2.3_50_149_352,IPBES,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
percentage of population using safely managed drinking water services,IPBES_GA_1_52_19_73,IPBES,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
"percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",GBF_T23_CY_269,GBF,Human well-being,NA,Equity,Wellness,1,TRUE,FALSE
"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",GBF_T22_CY_255;GBF_T23_CY_264,GBF,Human well-being,NA,Equity,NA,1,TRUE,FALSE
percentage of ramsar sites that have updated ramsar information sheets,RAMSAR_SG2.5_17,RAMSAR,Knowledge systems,NA,Information on biodiversity,NA,1,TRUE,FALSE
percentage of ramsar sites which have improved the sustainability of water use in the context of ecosystem requirements,RAMSAR_SG1.2_5,RAMSAR,Ecosystem services,ecosystems,Specific mention of sustainable use of species/ecosystems,State of ecosystems (integrity),1,TRUE,FALSE
percentage of spatial plans utilizing information on key biodiversity areas,GBF_T1_CY_106,GBF,Governance,NA,Nature-based legislation,NA,1,TRUE,FALSE
percentage of terrestrial domesticated animal breeds at risk,IPBES_GA3_sup_53,IPBES,biodiversity,NA,Species conservation,NA,0,FALSE,TRUE
percentage of terrestrial ecoregions covered by protected areas,IPBES_GA_3_72_395_473;IPBES_GA_3_72_395_474;IPBES_GA3_sup_42;IPBES_GA3_sup_44,IPBES,ecosystems,NA,Area conservation,NA,0,FALSE,TRUE
percentage of the population exposed to annual mean pm concentrations above the highest interim target of 35 μg/m,GEO_20_8_233_202,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
percentage of the population in traditional occupations,GBF_T9_H_28,GBF,Knowledge systems,NA,Information on society and socio-economics,NA,1,TRUE,FALSE
percentage of the total funds required to implement the work programme agreed by the conference of the parties that is fully funded,CITES_G3.3.2_27,CITES,Governance,NA,Nature-based funding,NA,1,TRUE,FALSE
percentage of threatened species that are improving in status,GBF_GA_CY_35;GBF_T4_CY_149,GBF,biodiversity,NA,Species conservation,Change in biodiversity,1,TRUE,FALSE
percentage of undernourished people,IPBES_GA_1_52_19_34,IPBES,Knowledge systems,Human well-being,Information on society and socio-economics,Healthy living conditions,0,FALSE,TRUE
permafrost temperature,IPCC_2_62_101_104,IPCC,ecosystems,Direct drivers,Abiotic conditions,Climate change,0,FALSE,TRUE
"permafrost thickness, depth and extent",GBF_GA_CY_7,GBF,ecosystems,NA,State of ecosystems,NA,1,TRUE,FALSE
permafrost-vegetation relationships,IPCC_2_62_100_103,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
permanent surface water extent,IPBES_GA_2.2_37_70_156;IPBES_GA2.2_sup_18,IPBES,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
"pest, invasive or harmful species",IPBES_GA_4_34_176_370,IPBES,Direct drivers,NA,Invasive alien species,NA,0,FALSE,TRUE
pesticide use,IPBES_GA_3_51_381_459;IPBES_GA_3_54_387_463;IPBES_GA2.1_sup_42;IPBES_GA3_sup_31,IPBES,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
pesticide use per area of cropland,GBF_T7_CY_180,GBF,Direct drivers,NA,Pollution,NA,1,TRUE,FALSE
ph and desoxygenation,IPCC_2_26_47_67,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
ph of ocean surface water,IPCC_1_32_16_11,IPCC,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
phenology of economically and/or culturally important wild plant and animal species,IPBES_GA_2.3_40_140_277,IPBES,Knowledge systems,Ecosystem services,ILK,Nature contribution,0,FALSE,TRUE
phenology of marine biota,IPCC_2_26_47_71,IPCC,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
phosphorus (p) loads,IPBES_GA_3_74_399_486,IPBES,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
photo series analysis using social media,IPBES_VA_3_48_73_52,IPBES,Knowledge systems,NA,Information on biodiversity,NA,0,FALSE,TRUE
photo-rankings,IPBES_VA_2_38_28_17,IPBES,Knowledge systems,NA,Information on biodiversity,NA,0,FALSE,TRUE
phylogenetic distance,IPBES_IAS_3_84_95_27,IPBES,biodiversity,NA,Genetic diversity,NA,0,FALSE,TRUE
phylogenetic diversity,IPBES_GA_2.3_42_143_337,IPBES,biodiversity,NA,Genetic diversity,NA,0,FALSE,TRUE
phytoplankton abundance,IPCC_2_74_118_116,IPCC,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
phytoplankton community structure,IPCC_2_75_119_118,IPCC,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
piped drinking water,GEO_22_21_257_239,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
planck temperature response,IPCC_7_56_335_220,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
planetary pressures adjusted human development index (hdi),IPBES_VA_2_38_29_27,IPBES,Knowledge systems,Human well-being,Information on society and socio-economics,Wellness,0,FALSE,TRUE
plant water use efficiency (wue),IPCC_8_65_401_246,IPCC,Ecosystem services,NA,Nature contribution,NA,0,FALSE,TRUE
plastic debris density,GBF_T7_C_38;GBF_T7_CY_176;SDG_G14.1.1.b_184;GEO_7_19_66_88;GEO_14_15_152_125;GEO_14_15_154_129;GEO_20_8_234_208;IPBES_SUA_sup_14.1.1.b_111,GBF,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),1,TRUE,FALSE
plastic debris density,GBF_T7_C_38;GBF_T7_CY_176;SDG_G14.1.1.b_184;GEO_7_19_66_88;GEO_14_15_152_125;GEO_14_15_154_129;GEO_20_8_234_208;IPBES_SUA_sup_14.1.1.b_111,SDG,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),1,TRUE,FALSE
plastic debris density,GBF_T7_C_38;GBF_T7_CY_176;SDG_G14.1.1.b_184;GEO_7_19_66_88;GEO_14_15_152_125;GEO_14_15_154_129;GEO_20_8_234_208;IPBES_SUA_sup_14.1.1.b_111,IPBES,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),1,FALSE,TRUE
plastic debris density,GBF_T7_C_38;GBF_T7_CY_176;SDG_G14.1.1.b_184;GEO_7_19_66_88;GEO_14_15_152_125;GEO_14_15_154_129;GEO_20_8_234_208;IPBES_SUA_sup_14.1.1.b_111,GEO,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity),1,FALSE,TRUE
pm 10 emissions,GEO_20_6_228_196,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
pm 2.5 emissions,GEO_20_6_228_193,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
pm2.5 emissions,GEO_12_16_119_105,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
polar ice sheets,GEO_4_13_34_42,GEO,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
poleward shifts in the south atlantic convergence zone (sacz),IPCC_8_45_390_240,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
policies make adequate provisions to minimize impacts of fisheries on threatened species,IPBES_GA_1_52_19_52,IPBES,Governance,NA,Nature-based legislation,NA,0,FALSE,TRUE
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,IPBES_GA_1_52_19_51,IPBES,Governance,NA,Nature-based legislation,NA,0,FALSE,TRUE
political stability and absence of violence/terrorism,IPBES_GA2.1_sup_67,IPBES,Governance,Human well-being,Legislation/governance,Wellness,0,FALSE,TRUE
pollen deposition,IPBES_GA_2.3_42_143_296,IPBES,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
pollen presence,IPCC_2_24_46_46;IPCC_2_62_100_101,IPCC,ecosystems,NA,State of ecosystems,NA,0,FALSE,TRUE
pollinator diversity,IPBES_GA_2.3_2_125_253;IPBES_GA_2.3_42_143_292,IPBES,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
population density,IPBES_GA2.1_sup_21,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
population extinctions,IPBES_GA_2.3_75_161_360,IPBES,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
population growth (annual percentage),IPBES_GA2.1_sup_20,IPBES,biodiversity,NA,Change in biodiversity,NA,0,FALSE,TRUE
population in megacities,IPBES_GA2.1_sup_28,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
population in the largest city,IPBES_GA2.1_sup_27,IPBES,Knowledge systems,NA,Information on society and socio-economics,NA,0,FALSE,TRUE
population involved in hunting and gathering,GBF_GB_CY_76,GBF,Human assets,Ecosystem services,Coverage of basic needs,Nature contribution,1,TRUE,FALSE
population size,IPBES_GA_2.3_40_140_274;IPBES_SUA_2_97_80_36,IPBES,Knowledge systems,biodiversity,ILK,State of biodiversity,0,FALSE,TRUE
population-weighted annual mean concentration of pm2.5,GEO_12_15_115_101,GEO,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
population-weighted ozone concentrations,IPCC_6_73_321_211,IPCC,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
population-weighted pm2.5 concentrations,IPCC_6_73_321_210,IPCC,Direct drivers,NA,Pollution,NA,0,FALSE,TRUE
position of 15n atom in atmospheric n2o,IPCC_5_36_279_199,IPCC,Direct drivers,NA,Climate change,NA,0,FALSE,TRUE
positive incentives in place to promote biodiversity conservation and sustainable use,GBF_T18_H_43,GBF,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems,1,TRUE,FALSE
possible use or further development of indicator(s) linked to work currently being undertaken to develop indicator(s) for related aichi target 18 of the strategic plan for biodiversity,RAMSAR_SG3.10_35,RAMSAR,Knowledge systems,NA,Specific information on ILK and IPLC,NA,1,TRUE,FALSE
potential evaporation anomalies,IPCC_11_58_543_296,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
"potential evaporation, evaporative demand drought index",IPCC_sup_35,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
poverty,GEO_3_5_16_20,GEO,Human assets,Human well-being,State of economy,Healthy living conditions,0,FALSE,TRUE
poverty gap,IPBES_GA2.1_sup_3,IPBES,Human assets,Human assets,Coverage of basic needs,Income,0,FALSE,TRUE
power dissipation index,IPCC_9_104_471_270;IPCC_11_79_569_325,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
precipitable water vapour,IPCC_2_26_47_49,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
precipitation,IPCC_2_26_47_50;IPCC_3_8_164_139;IPCC_8_28_370_232,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
precipitation deciles and percentiles,IPCC_11_58_543_295,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
precipitation deficits,IPCC_11_58_544_306,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
precipitation index,IPCC_4_8_221_175,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
precipitation intensity-duration thresholds,IPCC_12_17_598_337,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
precipitation-evaporation,IPCC_2_26_47_51,IPCC,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
predatory fish biomass,IPBES_GA_2.2_37_70_204;IPBES_GA2.2_sup_74,IPBES,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
premature deaths,GEO_5_19_45_60,GEO,Human well-being,NA,Healthy living conditions,NA,0,FALSE,TRUE
premature deaths in 2016 to household air pollution,GEO_5_19_45_64,GEO,Human well-being,Direct drivers,Healthy living conditions,Pollution,0,FALSE,TRUE
presence of regulations requiring recovery of depleted species,IPBES_GA_1_52_19_50,IPBES,Governance,biodiversity,Nature-based legislation,Species conservation,0,FALSE,TRUE
presense of endemic species,GEO_13_18_135_118,GEO,biodiversity,NA,State of biodiversity,NA,0,FALSE,TRUE
pressure ozone trend,GEO_5_17_42_52,GEO,ecosystems,NA,Abiotic conditions,NA,0,FALSE,TRUE
"prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",SDG_G2.2.3_18;IPBES_SUA_sup_2.2.3_16,SDG,Human assets,NA,Coverage of basic needs,NA,1,TRUE,FALSE
"prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",SDG_G2.2.3_18;IPBES_SUA_sup_2.2.3_16,IPBES,Human assets,NA,Coverage of basic needs,NA,1,FALSE,TRUE
prevalence of certain species,IPBES_SUA_2_97_80_31,IPBES,Knowledge systems,biodiversity,ILK,State of biodiversity,0,FALSE,TRUE
prevalence of knowledge about seasonal cycles in their communities,IPBES_SUA_2_97_80_40,IPBES,Knowledge systems,NA,ILK,NA,0,FALSE,TRUE
"prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the who child growth standards) among children under 5 years of age, by type (wasting and overweight)",SDG_G2.2.2_17;IPBES_SUA_sup_2.2.2_15,SDG,Human assets,NA,Coverage of basic needs,NA,1,TRUE,FALSE
"prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the who child growth standards) among children under 5 years of age, by type (wasting and overweight)",SDG_G2.2.2_17;IPBES_SUA_sup_2.2.2_15,IPBES,Human assets,NA,Coverage of basic needs,NA,1,FALSE,TRUE
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",GBF_GB_CY_77;SDG_G2.1.2_15;IPBES_SUA_sup_2.1.2_13,GBF,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,1,TRUE,FALSE
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",GBF_GB_CY_77;SDG_G2.1.2_15;IPBES_SUA_sup_2.1.2_13,SDG,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,1,TRUE,FALSE
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",GBF_GB_CY_77;SDG_G2.1.2_15;IPBES_SUA_sup_2.1.2_13,IPBES,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,1,FALSE,TRUE
prevalence of obesity in the adult population (18 years and older),IPBES_GA2.1_sup_9,IPBES,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions,0,FALSE,TRUE
prevalence of stunting (height for age <-2 standard deviation from the median of the world health organization (who) child growth standards) among children under 5 years of age,SDG_G2.2.1_16;IPBES_SUA_sup_2.2.1_14,SDG,Human assets,NA,Coverage of basic needs,NA,1,TRUE,FALSE
