error,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2
,number of people without access to safe sanitation services,GEO_16_17_189,GEO,0,Human well-being,Healthy living conditions,NA,NA
,number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,GBF_T13_C_55,GBF,1,biodiversity,Genetic resources,NA,NA
,number of photos taken by the public in an advert to indicate aesthetic values,VA_3_48_73,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF_GA_CY_46;GBF_T9_CY_191;IPBES_SUA_sup_2.5.1_20,GBF;IPBES,1,biodiversity,Genetic resources,NA,NA
,number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF_T4_C_26;IPBES_GA3_sup_52,GBF;IPBES,1,biodiversity,Genetic resources,NA,NA
,"number of practical tools and guidance documents for wetland conservation and wise use, and other key scientific documentation, which has been developed by either strp, parties and others, and is available via the ramsar website",RAMSAR_OG4.14_46,RAMSAR,1,Governance,National/international cooperation,Knowledge systems,Information on society and socio-economics
,number of protected area management effectiveness (pame) assessments,GA_3_72_395;VA_3_27_60;IPBES_GA3_sup_47,IPBES,0,ecosystems,Area conservation,NA,NA
,number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_T22_CY_260;GBF_T23_CY_268,GBF,1,ecosystems,Area conservation,NA,NA
,number of publications,SUA_4_2_109,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA
,number of ramsar sites designated for the following under represented wetland types: karst and other subterranean hydrological systems; coral reefs; wet grasslands; peatland; sea-grass beds; mangroves; temporary pools; bivalve (shellfish) reefs,RAMSAR_SG2.6_24,RAMSAR,1,Governance,National/international cooperation,NA,NA
,number of ramsar sites removed from the montreux record,RAMSAR_SG2.7_25,RAMSAR,1,ecosystems,State of ecosystems (integrity),NA,NA
,number of ramsar sites reported by parties to the ramsar secretariat of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,RAMSAR_SG2.7_27,RAMSAR,1,Governance,National/international cooperation,ecosystems,State of ecosystems (integrity)
,number of ramsar sites that have been designated,RAMSAR_SG2.6_21,RAMSAR,1,Governance,National/international cooperation,NA,NA
remove,"number of ramsar sites that have effective, implemented management planning",RAMSAR_SG2.5_15,RAMSAR,1,Governance,National/international cooperation,,
x,"number of ramsar sites that have effective, implemented management plans",RAMSAR_SG2.5_14;RAMSAR_SG2.5_15,RAMSAR,1,ecosystems,Area conservation,Governance,National/international cooperation
,number of rare or threatened species,VA_2_38_28,IPBES,0,biodiversity,State of biodiversity,NA,NA
,number of regional initiatives successfully implemented,RAMSAR_OG4.15_48;RAMSAR_OG4.18_63,RAMSAR,1,Governance,National/international cooperation,NA,NA
,number of relevant ramsar handbooks downloaded from the ramsar web-site and subtotals by country and ramsar region of the source of these downloads,RAMSAR_OG4.14_45,RAMSAR,1,Governance,National/international cooperation,NA,NA
,number of reports shared by the parties in compliance with the resolutions of the convention,CITES_G2.2.4_13,CITES,1,Governance,Nature-based legislation,NA,NA
,number of research studies involving economic valuation,GA_3_15_329;IPBES_GA3_sup_6,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,number of residents living in floodplains,GEO_17_8_200,GEO,0,Knowledge systems,Information on society and socio-economics,NA,NA
,"number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation",UNCCD_SO5.6_15,UNCCD,1,Governance,National/international cooperation,Knowledge systems,Information on society and socio-economics
,number of scientists per population,GBF_GD_CY_98,GBF,1,Knowledge systems,Information on society and socio-economics,NA,NA
,"number of seizures made through parties collaboration across range, transit and destination states, to address entire illegal trade chains",CITES_G3.5.1_29,CITES,1,Governance,Nature-based legislation,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems
,number of social media links to world wetland day,RAMSAR_OG4.16_54,RAMSAR,1,Knowledge systems,Specific information on human-nature relationship,NA,NA
,number of species at risk of extinction,IAS_4_22_102,IPBES,0,Knowledge systems,Information on biodiversity,biodiversity,State of biodiversity
,number of species extinctions,GA_1_52_19;IAS_4_22_102,IPBES,0,biodiversity,Change in biodiversity,NA,NA
,number of strp briefing papers downloaded from the ramsar web site and subtotals by country and ramsar region of the source of these downloads,RAMSAR_OG4.14_44,RAMSAR,1,Governance,National/international cooperation,NA,NA
,number of studies on ias available per region,IAS_2_13_15,IPBES,0,Knowledge systems,Information on biodiversity,biodiversity,Invasive alien species
,number of summer days: annual count of days when tx (daily maximum temperature) >25°c,IPCC_sup_13,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings,SUA_4_65_122,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA
,"number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf. 16.7 (rev. cop17) on non-detriment findings related to - the population status of appendix-ii species; - the trends and impact of trade upon appendix-ii species; and - the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",CITES_G2.2.1_10,CITES,1,Knowledge systems,Information on biodiversity,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems
,number of threatened species by species group,GBF_GA_CY_36,GBF,1,biodiversity,Species conservation,NA,NA
,number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,CITES_G5.1.4_49,CITES,1,Governance,National/international cooperation,NA,NA
,number of tourists,IAS_2_5_11,IPBES,0,Human well-being,Recreation,NA,NA
,"number of tourists, scientists and facilities per biogeographic region",IAS_6_21_146,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,number of transboundary ramsar sites that have been designated,RAMSAR_SG2.6_23,RAMSAR,1,Governance,National/international cooperation,NA,NA
,number of tropical nights: annual count of days when tn (daily minimum temperature) >20°c,IPCC_sup_14,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,GBF_GC_CY_90,GBF,1,biodiversity,Genetic resources,NA,NA
,"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",SDG_G16.10.1_232,SDG,1,Knowledge systems,Information on society and socio-economics,Governance,Broken governance
,"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",SDG_G16.2.2_217,SDG,1,Knowledge systems,Information on society and socio-economics,Governance,Broken governance
,"number of victims of intentional homicide per 100,000 population, by sex and age",SDG_G16.1.1_212,SDG,1,Knowledge systems,Information on society and socio-economics,Governance,Broken governance
,number of vulnerable marine ecosystems,GEO_14_16_155,GEO,0,ecosystems,State of ecosystems,NA,NA
,number of widespread phyla for which no information was available for a particular region,IAS_2_13_16,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA
,number of wildlife pictures posted on a photo-sharing website,VA_3_48_73,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared cites listed species,CITES_G2.2.3_12;CITES_G3.2.2_25,CITES,1,Governance,National/international cooperation,NA,NA
,number of world natural heritage sites per country per year,GA_1_52_19,IPBES,0,Governance,Nature-based legislation,Knowledge systems,Information on society and socio-economics
,number of world wetland day activities or events reported to the secretariat,RAMSAR_OG4.16_51,RAMSAR,1,Knowledge systems,Specific information on human-nature relationship,NA,NA
,number of written ndfs submitted and number of parties submitting ndfs for posting in the cites online database,CITES_G2.1.2_8,CITES,1,Governance,National/international cooperation,NA,NA
,number of ‘hits’ on scientific and technical guidance pages of the ramsar web-site and associated subtotals by country and ramsar region of the source of these hits,RAMSAR_OG4.14_43,RAMSAR,1,Knowledge systems,Information on society and socio-economics,Knowledge systems,Specific information on human-nature relationship
,"number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities",GBF_T9_H_29,GBF,1,Governance,Nature-based legislation,Ecosystem services,Specific mention of sustainable use of species/ecosystems
,numbers of scientific publications on biodiversity,GA_3_49_379,IPBES,0,Knowledge systems,Information on society and socio-economics,Knowledge systems,Information on biodiversity
,nutrient pollution,GEO_14_15_152,GEO,0,Direct drivers,Pollution,NA,NA
,nutrient runoff into oceans (n and p),GEO_20_8_234,GEO,0,Direct drivers,Pollution,NA,NA
,nutrition,GEO_3_5_16,GEO,0,Human well-being,Healthy living conditions,NA,NA
,o recovery,GEO_5_17_42,GEO,0,ecosystems,Abiotic conditions,NA,NA
,o3 concentration,GEO_5_17_41;GEO_5_17_42,GEO,0,ecosystems,Abiotic conditions,NA,NA
,o3 emissions,GEO_20_6_228,GEO,0,Direct drivers,Pollution,NA,NA
remove,observation-based estimate of global mean surface air temperature (gmst),IPCC_1_45_19,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,occurrence of heat-related human mortality,IPCC_1_62_25,IPCC,0,Human well-being,Healthy living conditions,Direct drivers,Natural drivers
,ocean acidification,GBF_GB_CY_65;GEO_2_26_7,GBF;GEO,1,Direct drivers,Pollution,NA,NA
,ocean health index,GBF_GA_CY_31;GA_2.2_38_74;GA_4_155_228;GA_6_86_279;GEO_6_8_48,GBF;IPBES;GEO,1,ecosystems,State of ecosystems (freshwater/coastal),NA,NA
,ocean heat content,IPCC_1_13_4;IPCC_1_70_30;IPCC_2_26_47;IPCC_2_63_104;IPCC_3_51_187,IPCC,0,ecosystems,State of ecosystems,Direct drivers,Climate change
,ocean heat content and specific humidity,GEO_2_26_7,GEO,0,ecosystems,Abiotic conditions,NA,NA
,ocean heat content ohc,IPCC_9_37_432,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,ocean ph,IPCC_4_18_229,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,ocean salinity,IPCC_3_84_212,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,ocean temperature,IPCC_3_51_187,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,ocean-colour,IPCC_2_76_123,IPCC,0,ecosystems,State of ecosystems (marine),NA,NA
,oceanic carbon sequestration,GA_2.2_37_70;IPBES_GA2.2_sup_33,IPBES,0,Ecosystem services,Nature contribution,NA,NA
,oceanic niño index (oni),IPCC_2_86_146,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,ocenan ph,IPCC_2_81_132,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,odss and ghgs,GEO_5_17_41,GEO,0,Direct drivers,Pollution,NA,NA
,oecd better life index,GA_4_131_209,IPBES,0,Human well-being,Wellness,NA,NA
,official development assistance on conservation and sustainable use of biodiversity,SDG_G15.a.1.a_207;SDG_G15.b.1.a_209;IPBES_SUA_sup_15.a.1.a_133;IPBES_SUA_sup_15.b.1.a_135,SDG;IPBES,1,Governance,Nature-based legislation,NA,NA
,official development assistance provided in support of the cbd objectives,GA_3_51_381;IPBES_GA3_sup_67,IPBES,0,Governance,Legislation/governance,NA,NA
,old ship logbooks,IPCC_2_58_90,IPCC,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,one-in-20 year return value of maximum five-day precipitation,IPCC_sup_33,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,one-in-20 year return value of maximum one-day precipitation,IPCC_sup_32,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,one-in-20 year return value of monthly maximum value of daily maximum temperature,IPCC_sup_17,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,one-in-20 year return value of monthly maximum value of daily minimum temperature,IPCC_sup_20,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,one-in-20 year return value of monthly minimum value of daily maximum temperature,IPCC_sup_18,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,one-in-20 year return value of monthly minimum value of daily minimum temperature,IPCC_sup_19,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,online interest in biodiversity (proportion of google searches),GA_3_15_329;IPBES_GA3_sup_4,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA
,opening up of forest canopy,GA_2.2_65_113,IPBES,0,Direct drivers,Land conversion,NA,NA
,organisms` size or growth,GA_4_34_176,IPBES,0,biodiversity,State of biodiversity,NA,NA
,other governance-related indicator on cms implementation,CMS_G1.3_5,CMS,1,Governance,Nature-based legislation,NA,NA
,other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),GBF_T1_CY_108,GBF,1,ecosystems,Area conservation,NA,NA
,outcome-based indicators(s) related to (extent of) wetland restoration possibly including remote sensing as appropriate,RAMSAR_SG3.12_41,RAMSAR,1,ecosystems,Restoration efforts,NA,NA
,overall species abundance,GA_1_52_19,IPBES,0,biodiversity,State of biodiversity,NA,NA
,overexploitation of resources by outsiders and locals,GA_2.2_6_56,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA
,pacific decadal oscillation (pdo),IPCC_2_89_154;IPCC_3_80_205,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,pacific decadal variability (pdv),IPCC_3_78_203;IPCC_3_80_206;IPCC_3_81_208,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,paleo-temperature records,IPCC_2_29_62,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,palmer drought severity index (pdsi),IPCC_8_66_403;IPCC_11_58_543;IPCC_11_60_549;IPCC_sup_40,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,pan evaporation measurements,IPCC_11_61_551,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,"parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",SDG_G4.5.1_62,SDG,1,Human assets,Coverage of basic needs,NA,ILK
,"participation rate in organized learning (one year before the official primary entry age), by sex",SDG_G4.2.2_59,SDG,1,Human assets,Coverage of basic needs,NA,NA
,"participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",SDG_G4.3.1_60,SDG,1,Human assets,Coverage of basic needs,NA,NA
,passenger and freight volumes by mode of transport,GA_3_128_421,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA
,"passenger and freight volumes, by mode of transport",SDG_G9.1.2_118;IPBES_SUA_sup_9.1.2_60,SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,NA
,peatland extent and condition,GBF_GA_CY_6,GBF,1,ecosystems,State of ecosystems (coverage),NA,NA
,penman-monteith aed (atmospheric evaporative demand),IPCC_11_61_551,IPCC,0,ecosystems,Abiotic conditions,NA,NA
x,people per outlet mcdonals,IPBES_GA2.1_sup_19,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA
,peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,VA_3_2_52,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA
,per capita calorie intake,IPBES_GA2.1_sup_8,IPBES,0,Human well-being,Healthy living conditions,Human assets,Coverage of basic needs
,per capita consumption,GA_2_22_28,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,percent of total land area that is under cultivation,GBF_T1_CY_111,GBF,1,ecosystems,State of ecosystems,NA,NA
,percentage change in local species richness,IPBES_GA3_sup_55,IPBES,0,biodiversity,Change in biodiversity,NA,NA
,percentage loss of red list indexed species from ramsar sites,RAMSAR_SG2.5_20,RAMSAR,1,biodiversity,Change in biodiversity,NA,NA
,percentage of abroad land use footprint,GA_2_118_47,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA
,percentage of agricultural and urban areas,GA_2_118_47,IPBES,0,ecosystems,State of ecosystems (coverage),Knowledge systems,Information on society and socio-economics
,percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF_T3_CY_141,GBF,1,ecosystems,Area conservation,Governance,Nature-based legislation
,percentage of bloodstream infections due to selected antimicrobial-resistant organisms,SDG_G3.d.2_55,SDG,1,Direct drivers,(Infectious) diseases,NA,NA
,"percentage of cities with direct participation structure of civil society in urban planning and management, which operate regularly and democratically",GEO_15_21_173,GEO,0,Knowledge systems,Information on society and socio-economics,NA,NA
,percentage of contracting parties that have provided additional financial support through voluntary contributions to non-core funded convention activities,RAMSAR_OG4.17_60,RAMSAR,1,Governance,Nature-based funding,NA,NA
,percentage of countries that are category 1 cites parties,GA_1_52_19;GA_3_15_329;IPBES_GA3_sup_9,IPBES,0,Governance,Nature-based legislation,NA,NA
,percentage of countries that have ratified the nagoya protocol,IPBES_GA3_sup_59,IPBES,0,Governance,Nature-based legislation,NA,NA
,percentage of countries with invasive alien species legislation,GA_3_72_395;IPBES_GA3_sup_35,IPBES,0,Governance,Nature-based legislation,NA,NA
,percentage of countries with revised nbsaps,IPBES_GA3_sup_60,IPBES,0,Governance,Nature-based legislation,NA,NA
,percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,GBF_T17_CY_228,GBF,1,Governance,Nature-based legislation,NA,NA
,percentage of cropped landscapes with at least 10 percentage natural land,GBF_T2_CY_122,GBF,1,ecosystems,State of ecosystems,NA,NA
,percentage of days when daily maximum temperature is greater than the 90th percentile,IPCC_sup_5,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,percentage of days when daily maximum temperature is less than the 10th percentile,IPCC_sup_6,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,percentage of days when daily minimum temperature is greater than the 90th percentile,IPCC_sup_7,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,percentage of days when daily minimum temperature is less than the 10th percentile,IPCC_sup_8,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,percentage of freshwater key biodiversity areas covered by protected areas,GA_3_72_395,IPBES,0,ecosystems,Area conservation,NA,NA
,percentage of global rural population with access to improved water resources,IPBES_GA3_sup_58,IPBES,0,Human well-being,Healthy living conditions,Human assets,Coverage of basic needs
,percentage of land and seas covered by biodiversity-inclusive spatial plans,GBF_T1_H_15,GBF,1,ecosystems,Area conservation,NA,NA
,percentage of live coral cover,GA_2.2_70_120;GA_3_34_361,IPBES,0,ecosystems,State of ecosystems,NA,NA
,percentage of marine ecoregions covered by protected areas,IPBES_GA3_sup_45,IPBES,0,ecosystems,Area conservation,NA,NA
,percentage of marine key biodiversity areas covered by protected areas,GA_3_72_395,IPBES,0,ecosystems,Area conservation,NA,NA
x,percentage of parties having a national inventory of invasive alien species that currently or potentially impact the ecological character of wetlands,RAMSAR_SG1.4_11,RAMSAR,1,biodiversity,Change in biodiversity,Direct drivers,Invasive alien species
,percentage of parties having national ramsar committees that include both governmental and non-governmental representation,RAMSAR_SG1.3_9,RAMSAR,1,Governance,Nature-based legislation,NA,NA
,percentage of parties reporting actions taken to implement incentive measures that encourage the conservation and wise use of wetlands,RAMSAR_SG1.3_6,RAMSAR,1,Governance,Nature-based legislation,ecosystems,Area conservation
,percentage of parties reporting actions taken to remove perverse incentive measures that discourage conservation and wise use of wetlands,RAMSAR_SG1.3_7,RAMSAR,1,Governance,National/international cooperation,ecosystems,Area conservation
,percentage of parties reporting having sufficient information to enforce the convention,CITES_G2.3.2_17,CITES,1,Knowledge systems,Information on biodiversity,Governance,National/international cooperation
,percentage of parties reporting having sufficient information to make listing decisions that are reflective of species conservation needs,CITES_G2.4.1_18,CITES,1,Knowledge systems,Information on biodiversity,Governance,National/international cooperation
,"percentage of parties reporting private sector undertaking activities for the conservation, wise use and management of wetlands in general",RAMSAR_SG1.3_8,RAMSAR,1,Governance,National/international cooperation,NA,NA
,percentage of parties reporting to the ramsar secretariat all cases of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,RAMSAR_SG2.7_26,RAMSAR,1,ecosystems,Change in ecosystems,NA,NA
,percentage of parties that co-developed or otherwise supported the capacity of indigenous peoples and local communities to pursue livelihoods,CITES_G4.1.2_36,CITES,1,Knowledge systems,Specific information on ILK and IPLC,Governance,National/international cooperation
,percentage of parties that consider wetlands as natural water infrastructure integral to water resource management at the scale of river basin,RAMSAR_SG3.9_33,RAMSAR,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,Governance,Nature-based legislation
,percentage of parties that have adopted wetland policies or equivalent instruments that promote the wise use of their wetlands,RAMSAR_SG3.9_32,RAMSAR,1,Governance,Nature-based legislation,NA,NA
,percentage of parties that have been involved in the development and implementation of a regional initiative under the framework of the convention,RAMSAR_OG4.15_49;RAMSAR_OG4.18_64,RAMSAR,1,Governance,Nature-based legislation,NA,NA
,percentage of parties that have branded world wetlands day activities,RAMSAR_OG4.16_50,RAMSAR,1,Knowledge systems,Specific information on human-nature relationship,NA,NA
,percentage of parties that have complete national wetland inventories,RAMSAR_SG3.8_30,RAMSAR,1,Knowledge systems,Information on biodiversity,NA,NA
,percentage of parties that have effective cooperative management in place for shared wetland systems (for example in shared river basins and coastal zones),RAMSAR_OG4.18_66,RAMSAR,1,Governance,National/international cooperation,NA,NA
,percentage of parties that have established national action plans for wetland cepa,RAMSAR_OG4.16_56,RAMSAR,1,Governance,Nature-based legislation,NA,NA
,percentage of parties that have established networks including twinning arrangements nationally or internationally for knowledge sharing and training for wetlands that share common features,RAMSAR_OG4.18_65,RAMSAR,1,Governance,National/international cooperation,NA,NA
,percentage of parties that have established or reviewed national policies or guidelines on invasive wetland species control and management,RAMSAR_SG1.4_10,RAMSAR,1,Governance,Nature-based legislation,Direct drivers,Invasive alien species
,percentage of parties that have established restoration plans [or activities] for sites,RAMSAR_SG3.12_39,RAMSAR,1,ecosystems,Restoration efforts,NA,NA
,percentage of parties that have implemented effective restoration or rehabilitation projects,RAMSAR_SG3.12_40,RAMSAR,1,ecosystems,Restoration efforts,NA,NA
,percentage of parties that have implemented programmes or projects that contribute to poverty alleviation objectives or food and water security plans,RAMSAR_SG3.11_38,RAMSAR,1,Human well-being,Healthy living conditions,NA,NA
remove,percentage of parties that have included wetland issues into national strategies and in the planning processes such as for water resource management and water efficiency plans,RAMSAR_SG1.2_4,RAMSAR,1,Governance,Nature-based legislation,Ecosystem services,Specific mention of sustainable use of species/ecosystems
,percentage of parties that have included wetland issues within national policies or measures on agriculture,RAMSAR_SG1.1_3,RAMSAR,1,Governance,Nature-based legislation,Ecosystem services,Specific monetary valuation of nature contribution
x,percentage of parties that have included wetland issues within national strategies and planning processes such as water resource management and water efficiency plans,RAMSAR_SG1.1_2,RAMSAR,1,Governance,Nature-based legislation,Ecosystem services,Specific mention of sustainable use of species/ecosystems
,percentage of parties that have incorporated wetlands issues into poverty eradication strategies,RAMSAR_SG3.11_37,RAMSAR,1,Governance,Nature-based legislation,Human well-being,Healthy living conditions
,percentage of parties that have made an assessment of national and local training needs for the implementation of the convention,RAMSAR_OG4.19_70,RAMSAR,1,Governance,National/international cooperation,NA,NA
,percentage of parties that have made assessment of ecosystem services of ramsar sites,RAMSAR_SG1.1_1;RAMSAR_SG3.11_36,RAMSAR,1,Knowledge systems,Information on biodiversity,Ecosystem services,Nature contribution
,percentage of parties that have made assessments of effective management of ramsar sites,RAMSAR_SG2.5_16,RAMSAR,1,Knowledge systems,Information on biodiversity,ecosystems,Area conservation
,percentage of parties that have received funding support from development assistance agencies for national wetlands conservation and management,RAMSAR_OG4.17_61,RAMSAR,1,Governance,Nature-based funding,NA,NA
,percentage of parties that have taken actions to address the issues for which ramsar sites have been listed on the montreux record,RAMSAR_SG2.7_28,RAMSAR,1,ecosystems,State of ecosystems (integrity),NA,NA
,percentage of parties that have updated their national inventories in the last decade,RAMSAR_SG3.8_31,RAMSAR,1,Knowledge systems,Information on biodiversity,NA,NA
,percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,GBF_T17_CY_225,GBF,1,Governance,Nature-based legislation,NA,NA
,percentage of parties to the nagoya - kuala lumpur supplementary protocol,GBF_T17_CY_227,GBF,1,Governance,Nature-based legislation,NA,NA
,percentage of parties where co-ordination mechanisms for the implementation of meas exist at a national level,RAMSAR_OG4.18_67,RAMSAR,1,Governance,National/international cooperation,NA,NA
,percentage of parties with a) a governmental cepa national focal point and b) a non-governmental national focal point,RAMSAR_OG4.16_55,RAMSAR,1,Governance,National/international cooperation,NA,NA
,percentage of population living in dense urban areas,GA_2.3_50_149,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,percentage of population using safely managed drinking water services,GA_1_52_19,IPBES,0,Human well-being,Healthy living conditions,NA,NA
,"percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",GBF_T23_CY_269,GBF,1,Human well-being,Equity,NA,Wellness
,"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",GBF_T22_CY_255;GBF_T23_CY_264,GBF,1,Human well-being,Equity,NA,NA
,percentage of ramsar sites that have updated ramsar information sheets,RAMSAR_SG2.5_17,RAMSAR,1,Knowledge systems,Information on biodiversity,NA,NA
,percentage of ramsar sites which have improved the sustainability of water use in the context of ecosystem requirements,RAMSAR_SG1.2_5,RAMSAR,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,ecosystems,State of ecosystems (integrity)
,percentage of spatial plans utilizing information on key biodiversity areas,GBF_T1_CY_106,GBF,1,Governance,Nature-based legislation,NA,NA
,percentage of terrestrial domesticated animal breeds at risk,IPBES_GA3_sup_53,IPBES,0,biodiversity,Species conservation,NA,NA
,percentage of terrestrial ecoregions covered by protected areas,GA_3_72_395;GA_3_72_395;IPBES_GA3_sup_42;IPBES_GA3_sup_44,IPBES,0,ecosystems,Area conservation,NA,NA
,percentage of the population exposed to annual mean pm concentrations above the highest interim target of 35 μg/m,GEO_20_8_233,GEO,0,Direct drivers,Pollution,NA,NA
,percentage of the population in traditional occupations,GBF_T9_H_28,GBF,1,Knowledge systems,Information on society and socio-economics,NA,NA
,percentage of the total funds required to implement the work programme agreed by the conference of the parties that is fully funded,CITES_G3.3.2_27,CITES,1,Governance,Nature-based funding,NA,NA
,percentage of threatened species that are improving in status,GBF_GA_CY_35;GBF_T4_CY_149,GBF,1,biodiversity,Species conservation,NA,Change in biodiversity
,percentage of undernourished people,GA_1_52_19,IPBES,0,Knowledge systems,Information on society and socio-economics,Human well-being,Healthy living conditions
,permafrost temperature,IPCC_2_62_101,IPCC,0,ecosystems,Abiotic conditions,Direct drivers,Climate change
,"permafrost thickness, depth and extent",GBF_GA_CY_7,GBF,1,ecosystems,State of ecosystems,NA,NA
,permafrost-vegetation relationships,IPCC_2_62_100,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,permanent surface water extent,GA_2.2_37_70;IPBES_GA2.2_sup_18,IPBES,0,ecosystems,Abiotic conditions,NA,NA
,"pest, invasive or harmful species",GA_4_34_176,IPBES,0,Direct drivers,Invasive alien species,NA,NA
,pesticide use,GA_3_51_381;GA_3_54_387;IPBES_GA2.1_sup_42;IPBES_GA3_sup_31,IPBES,0,Direct drivers,Pollution,NA,NA
,pesticide use per area of cropland,GBF_T7_CY_180,GBF,1,Direct drivers,Pollution,NA,NA
,ph and desoxygenation,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA
,ph of ocean surface water,IPCC_1_32_16,IPCC,0,ecosystems,State of ecosystems,NA,NA
,phenology of economically and/or culturally important wild plant and animal species,GA_2.3_40_140,IPBES,0,Knowledge systems,ILK,Ecosystem services,Nature contribution
,phenology of marine biota,IPCC_2_26_47,IPCC,0,biodiversity,State of biodiversity,NA,NA
,phosphorus (p) loads,GA_3_74_399,IPBES,0,Direct drivers,Pollution,NA,NA
,photo series analysis using social media,VA_3_48_73,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA
,photo-rankings,VA_2_38_28,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA
,phylogenetic distance,IAS_3_84_95,IPBES,0,biodiversity,Genetic diversity,NA,NA
,phylogenetic diversity,GA_2.3_42_143,IPBES,0,biodiversity,Genetic diversity,NA,NA
,phytoplankton abundance,IPCC_2_74_118,IPCC,0,biodiversity,State of biodiversity,NA,NA
